,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
53,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,Not Applicable,Tier 2,Supermarket Type1,3121.2704
54,12.15,Low Fat,0.028760013,Household,151.4708,OUT017,Not Applicable,Tier 2,Supermarket Type1,4815.0656
55,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,Medium,Tier 3,Supermarket Type2,6258.52
56,9.195,Low Fat,0.048157338,Household,106.1622,OUT045,Not Applicable,Tier 2,Supermarket Type1,2117.244
57,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,Medium,Tier 1,Supermarket Type1,796.9626
58,15.1,Low Fat,0.173481304,Snack Foods,194.511,OUT046,Small,Tier 1,Supermarket Type1,4910.275
59,12.857645184136183,Low Fat,0.061082177,Canned,180.0344,OUT019,Small,Tier 1,Grocery Store,892.172
60,10.0,Low Fat,0.0,Fruits and Vegetables,246.9144,OUT018,Medium,Tier 3,Supermarket Type2,3185.1872
61,7.97,Regular,0.040071131,Meat,87.3514,OUT045,Not Applicable,Tier 2,Supermarket Type1,1062.6168
62,12.857645184136183,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,Medium,Tier 3,Supermarket Type3,484.7024
63,12.857645184136183,Regular,0.15028599,Frozen Foods,51.0692,OUT019,Small,Tier 1,Grocery Store,147.8076
64,12.857645184136183,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,Medium,Tier 3,Supermarket Type3,2543.356
65,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,Not Applicable,Tier 3,Grocery Store,184.4266
66,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,Small,Tier 2,Supermarket Type1,4865.6664
67,13.65,Regular,0.078946455,Dairy,186.024,OUT045,Not Applicable,Tier 2,Supermarket Type1,1118.544
68,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,Not Applicable,Tier 2,Supermarket Type1,2302.3364
69,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,OUT046,Small,Tier 1,Supermarket Type1,2027.361
70,15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,Small,Tier 1,Supermarket Type1,3435.528
71,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,High,Tier 3,Supermarket Type1,599.22
72,18.25,Low Fat,0.0,Starchy Foods,164.7526,OUT045,Not Applicable,Tier 2,Supermarket Type1,4604.6728
73,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,Not Applicable,Tier 2,Supermarket Type1,2285.0256
74,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,5580.7356
75,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,Small,Tier 1,Supermarket Type1,2290.352
76,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,Medium,Tier 1,Supermarket Type1,1207.0954
77,12.857645184136183,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,Small,Tier 1,Grocery Store,643.1628
78,19.0,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,Not Applicable,Tier 2,Supermarket Type1,1587.933
79,5.905,Low Fat,0.0,Canned,222.5456,OUT045,Not Applicable,Tier 2,Supermarket Type1,5305.0944
80,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,Small,Tier 1,Supermarket Type1,1697.79
81,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,Small,Tier 1,Supermarket Type1,1427.4752
82,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,Medium,Tier 3,Supermarket Type2,4693.89
83,12.857645184136183,Low Fat,0.293417759,Household,194.6136,OUT019,Small,Tier 1,Grocery Store,583.2408
84,12.857645184136183,Regular,0.031382044,Baking Goods,171.3764,OUT027,Medium,Tier 3,Supermarket Type3,3091.9752
85,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,Not Applicable,Tier 2,Supermarket Type1,2479.4392
86,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,Small,Tier 2,Supermarket Type1,2716.464
87,12.857645184136183,Regular,0.039057677,Breakfast,155.963,OUT027,Medium,Tier 3,Supermarket Type3,3285.723
88,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,Small,Tier 1,Supermarket Type1,661.8052
89,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,Medium,Tier 1,Supermarket Type1,1523.3504
90,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,Not Applicable,Tier 3,Grocery Store,369.519
91,8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,Medium,Tier 1,Supermarket Type1,690.4346
92,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,Not Applicable,Tier 2,Supermarket Type1,1381.535
93,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,Small,Tier 2,Supermarket Type1,622.523
94,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,Small,Tier 2,Supermarket Type1,1274.3412
95,12.857645184136183,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,Small,Tier 1,Grocery Store,487.3656
96,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,Medium,Tier 1,Supermarket Type1,1231.73
97,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,Small,Tier 2,Supermarket Type1,3755.112
98,12.857645184136183,Low Fat,0.028459761,Household,149.9708,OUT027,Medium,Tier 3,Supermarket Type3,4363.6532
99,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,Small,Tier 1,Supermarket Type1,1314.2892
100,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,Not Applicable,Tier 2,Supermarket Type1,1805.6496
101,12.857645184136183,Regular,0.045797829,Snack Foods,178.5344,OUT027,Medium,Tier 3,Supermarket Type3,2854.9504
102,8.31,Regular,0.115857223,Snack Foods,179.1028,OUT049,Medium,Tier 1,Supermarket Type1,3896.2616
103,16.75,Regular,0.024832806,Soft Drinks,38.7822,OUT013,High,Tier 3,Supermarket Type1,667.7974
104,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,Medium,Tier 3,Supermarket Type2,3185.853
105,17.1,Regular,0.0467696,Canned,141.1838,OUT013,High,Tier 3,Supermarket Type1,2247.7408
106,10.5,Regular,0.116576702,Baking Goods,163.121,OUT013,High,Tier 3,Supermarket Type1,1794.331
107,6.635,Regular,0.0,Baking Goods,121.3098,OUT045,Not Applicable,Tier 2,Supermarket Type1,2530.7058
108,12.857645184136183,Low Fat,0.278974075,Soft Drinks,225.372,OUT019,Small,Tier 1,Grocery Store,679.116
109,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,High,Tier 3,Supermarket Type1,812.276
110,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,Small,Tier 1,Supermarket Type1,699.09
111,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,Not Applicable,Tier 2,Supermarket Type1,2732.4432
112,12.857645184136183,Regular,0.064625342,Meat,176.937,OUT019,Small,Tier 1,Grocery Store,176.437
113,12.857645184136183,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,Medium,Tier 3,Supermarket Type3,4097.3332
114,9.1,Regular,0.0,Breads,173.2054,OUT045,Not Applicable,Tier 2,Supermarket Type1,3151.8972
115,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,Medium,Tier 1,Supermarket Type1,5942.265
116,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,Not Applicable,Tier 2,Supermarket Type1,4843.695
117,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,Small,Tier 2,Supermarket Type1,2542.0244
118,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,Not Applicable,Tier 2,Supermarket Type1,2552.6772
119,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,Medium,Tier 3,Supermarket Type2,1141.847
120,13.0,Low Fat,0.035307322,Household,47.5034,OUT017,Not Applicable,Tier 2,Supermarket Type1,680.4476
121,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,Not Applicable,Tier 2,Supermarket Type1,2085.9514
122,20.25,Regular,0.171938781,Canned,92.512,OUT010,Not Applicable,Tier 3,Grocery Store,186.424
123,8.6,Regular,0.040197932,Canned,190.153,OUT035,Small,Tier 2,Supermarket Type1,3036.048
124,12.6,Low Fat,0.049058014,Breads,62.7194,OUT017,Not Applicable,Tier 2,Supermarket Type1,866.8716
125,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,Small,Tier 2,Supermarket Type1,868.869
126,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,Small,Tier 1,Supermarket Type1,1137.1864
127,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,Not Applicable,Tier 2,Supermarket Type1,928.1252
128,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,OUT013,High,Tier 3,Supermarket Type1,762.341
129,20.5,Low Fat,0.032835147,Household,40.2822,OUT045,Not Applicable,Tier 2,Supermarket Type1,707.0796
130,12.857645184136183,Low Fat,0.033809913,Canned,180.5976,OUT027,Medium,Tier 3,Supermarket Type3,7968.2944
131,13.5,Low Fat,0.07266912,Household,160.292,OUT046,Small,Tier 1,Supermarket Type1,1438.128
132,12.857645184136183,Low Fat,0.144338493,Health and Hygiene,224.4404,OUT027,Medium,Tier 3,Supermarket Type3,6976.2524
133,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,Not Applicable,Tier 3,Grocery Store,101.2016
134,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,Medium,Tier 3,Supermarket Type2,952.094
135,7.235,Low Fat,0.076855628,Household,116.0492,OUT046,Small,Tier 1,Supermarket Type1,1969.4364
136,12.857645184136183,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,Medium,Tier 3,Supermarket Type3,5262.4832
137,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,Not Applicable,Tier 2,Supermarket Type1,1314.2892
138,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,Not Applicable,Tier 2,Supermarket Type1,535.3032
139,18.5,Low Fat,0.056816465,Others,132.1284,OUT010,Not Applicable,Tier 3,Grocery Store,263.6568
140,8.02,Low Fat,0.019866705,Household,154.5972,OUT035,Small,Tier 2,Supermarket Type1,1402.1748
141,9.195,Low Fat,0.048331717,Household,105.1622,OUT017,Not Applicable,Tier 2,Supermarket Type1,1693.7952
142,12.8,Low Fat,0.091221855,Others,105.5938,OUT045,Not Applicable,Tier 2,Supermarket Type1,2143.876
143,16.6,Low Fat,0.027622076,Household,177.6344,OUT049,Medium,Tier 1,Supermarket Type1,2676.516
144,14.0,Regular,0.0,Frozen Foods,53.064,OUT035,Small,Tier 2,Supermarket Type1,905.488
145,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,Medium,Tier 1,Supermarket Type1,7370.406
146,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,Small,Tier 2,Supermarket Type1,6301.1312
147,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,OUT035,Small,Tier 2,Supermarket Type1,1597.92
148,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,Small,Tier 2,Supermarket Type1,529.311
149,7.235,Low Fat,0.076841095,Household,117.5492,OUT035,Small,Tier 2,Supermarket Type1,1969.4364
150,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,Not Applicable,Tier 2,Supermarket Type1,1034.6532
151,13.85,Regular,0.026001976,Frozen Foods,161.521,OUT018,Medium,Tier 3,Supermarket Type2,1794.331
152,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,Medium,Tier 3,Supermarket Type2,2768.3964
153,12.857645184136183,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,Medium,Tier 3,Supermarket Type3,898.83
154,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,Small,Tier 1,Supermarket Type1,3169.208
155,18.35,Low Fat,0.014081156,Household,223.5746,OUT018,Medium,Tier 3,Supermarket Type2,3589.9936
156,5.465,Regular,0.0,Baking Goods,132.5626,OUT018,Medium,Tier 3,Supermarket Type2,262.3252
157,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,Not Applicable,Tier 2,Supermarket Type1,1910.1802
158,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,OUT017,Not Applicable,Tier 2,Supermarket Type1,1701.7848
159,14.0,Regular,0.060376776,Frozen Foods,154.5656,OUT013,High,Tier 3,Supermarket Type1,2471.4496
160,14.0,Regular,0.04192285,Snack Foods,54.764,OUT013,High,Tier 3,Supermarket Type1,1331.6
161,12.857645184136183,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,Medium,Tier 3,Supermarket Type3,1808.9786
162,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,Medium,Tier 3,Supermarket Type2,3315.684
163,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,Small,Tier 1,Supermarket Type1,2618.5914
164,6.155,Regular,0.094659871,Meat,214.556,OUT046,Small,Tier 1,Supermarket Type1,2769.728
165,19.5,Regular,0.077608838,Soft Drinks,233.4958,OUT017,Not Applicable,Tier 2,Supermarket Type1,5375.0034
166,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,Not Applicable,Tier 2,Supermarket Type1,2838.9712
167,12.15,Regular,0.042485444,Canned,125.0046,OUT018,Medium,Tier 3,Supermarket Type2,1743.0644
168,12.857645184136183,Low Fat,0.025578526,Household,198.8084,OUT027,Medium,Tier 3,Supermarket Type3,5555.4352
169,12.6,Low Fat,0.0489808,Breads,61.9194,OUT018,Medium,Tier 3,Supermarket Type2,619.194
170,14.5,Low Fat,0.019471688,Others,164.821,OUT035,Small,Tier 2,Supermarket Type1,2120.573
171,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,OUT017,Not Applicable,Tier 2,Supermarket Type1,3823.0236
172,11.8,Regular,0.057373797,Meat,151.4366,OUT013,High,Tier 3,Supermarket Type1,1360.2294
173,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,OUT013,High,Tier 3,Supermarket Type1,3969.4996
174,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,Not Applicable,Tier 3,Grocery Store,345.5502
175,17.85,Low Fat,0.0,Breads,196.5794,OUT010,Not Applicable,Tier 3,Grocery Store,585.2382
176,12.3,Regular,0.064750025,Starchy Foods,92.6804,OUT045,Not Applicable,Tier 2,Supermarket Type1,1010.6844
177,11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,OUT010,Not Applicable,Tier 3,Grocery Store,161.1236
178,12.857645184136183,Regular,0.191013663,Soft Drinks,42.1112,OUT019,Small,Tier 1,Grocery Store,42.6112
179,11.1,Low Fat,0.176573035,Baking Goods,157.4604,OUT045,Not Applicable,Tier 2,Supermarket Type1,3010.7476
180,12.857645184136183,Regular,0.060134441,Frozen Foods,153.0656,OUT027,Medium,Tier 3,Supermarket Type3,6024.1584
181,11.3,Low Fat,0.007294652,Meat,198.1426,OUT045,Not Applicable,Tier 2,Supermarket Type1,988.713
182,12.857645184136183,Low Fat,0.128478462,Health and Hygiene,117.944,OUT019,Small,Tier 1,Grocery Store,239.688
183,5.75,Regular,0.075107656,Dairy,112.8176,OUT013,High,Tier 3,Supermarket Type1,1374.2112
184,12.857645184136183,Regular,0.049381406,Baking Goods,226.8062,OUT027,Medium,Tier 3,Supermarket Type3,4739.8302
185,11.35,Regular,0.045165796,Snack Foods,100.0016,OUT018,Medium,Tier 3,Supermarket Type2,1012.016
186,12.857645184136183,Regular,0.09415375,Fruits and Vegetables,165.7526,OUT019,Small,Tier 1,Grocery Store,657.8104
187,14.0,Low Fat,0.028907832,Health and Hygiene,130.431,OUT049,Medium,Tier 1,Supermarket Type1,778.986
188,19.75,Regular,0.018059621,Frozen Foods,179.766,OUT045,Not Applicable,Tier 2,Supermarket Type1,2336.958
189,6.525,Low Fat,0.090436094,Household,85.0882,OUT049,Medium,Tier 1,Supermarket Type1,2233.0932
190,10.3,Low Fat,0.146399712,Meat,103.9648,OUT049,Medium,Tier 1,Supermarket Type1,1661.8368
191,5.78,Regular,0.074264356,Snack Foods,264.7568,OUT049,Medium,Tier 1,Supermarket Type1,4745.8224
192,11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,OUT045,Not Applicable,Tier 2,Supermarket Type1,3124.5994
193,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,Medium,Tier 3,Supermarket Type2,467.3916
194,12.857645184136183,Low Fat,0.01561108,Household,182.5976,OUT027,Medium,Tier 3,Supermarket Type3,5070.7328
195,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,OUT046,Small,Tier 1,Supermarket Type1,540.6296
196,19.0,Regular,0.097313129,Frozen Foods,48.0718,OUT046,Small,Tier 1,Supermarket Type1,992.7078
197,14.6,Low Fat,0.059582996,Others,238.8538,OUT049,Medium,Tier 1,Supermarket Type1,6008.845
198,12.857645184136183,Regular,0.098663652,Dairy,62.9194,OUT027,Medium,Tier 3,Supermarket Type3,2105.2596
199,12.857645184136183,Regular,0.101338651,Canned,232.63,OUT027,Medium,Tier 3,Supermarket Type3,5359.69
200,18.75,Low Fat,0.052146456,Health and Hygiene,104.628,OUT045,Not Applicable,Tier 2,Supermarket Type1,745.696
201,5.26,Regular,0.041764487,Baking Goods,161.8868,OUT035,Small,Tier 2,Supermarket Type1,3275.736
202,18.25,Low Fat,0.054344186,Snack Foods,140.2154,OUT045,Not Applicable,Tier 2,Supermarket Type1,1701.7848
203,12.857645184136183,Low Fat,0.078362484,Baking Goods,177.937,OUT027,Medium,Tier 3,Supermarket Type3,6704.606
204,15.1,Low Fat,0.052339069,Meat,242.7512,OUT046,Small,Tier 1,Supermarket Type1,4119.9704
205,15.5,Regular,0.042464962,Baking Goods,81.5934,OUT010,Not Applicable,Tier 3,Grocery Store,327.5736
206,13.65,Low Fat,0.065732883,Frozen Foods,45.7402,OUT049,Medium,Tier 1,Supermarket Type1,780.9834
207,16.1,Low Fat,0.023625114,Soft Drinks,189.3846,OUT045,Not Applicable,Tier 2,Supermarket Type1,3630.6074
208,12.857645184136183,Regular,0.051643608,Snack Foods,107.3622,OUT019,Small,Tier 1,Grocery Store,317.5866
209,12.85,Low Fat,0.165694219,Frozen Foods,39.7164,OUT010,Not Applicable,Tier 3,Grocery Store,231.6984
210,9.5,Low Fat,0.041878397,Soft Drinks,32.99,OUT035,Small,Tier 2,Supermarket Type1,133.16
211,13.8,Low Fat,0.058091482,Dairy,245.1802,OUT035,Small,Tier 2,Supermarket Type1,5650.6446
212,5.78,Regular,0.0,Snack Foods,263.7568,OUT017,Not Applicable,Tier 2,Supermarket Type1,2636.568
213,19.7,Low Fat,0.026903714,Household,96.0726,OUT045,Not Applicable,Tier 2,Supermarket Type1,1272.3438
214,14.65,Low Fat,0.0,Household,161.5552,OUT010,Not Applicable,Tier 3,Grocery Store,324.9104
215,6.67,Regular,0.150554711,Snack Foods,130.0626,OUT010,Not Applicable,Tier 3,Grocery Store,131.1626
216,6.11,Regular,0.0,Fruits and Vegetables,131.2968,OUT010,Not Applicable,Tier 3,Grocery Store,260.9936
217,13.65,Regular,0.134975628,Frozen Foods,260.0936,OUT010,Not Applicable,Tier 3,Grocery Store,260.9936
218,17.2,Low Fat,0.15616879,Meat,160.6578,OUT013,High,Tier 3,Supermarket Type1,3690.5294
219,6.32,Low Fat,0.0,Meat,40.2822,OUT035,Small,Tier 2,Supermarket Type1,1139.1838
220,4.88,Regular,0.133700752,Baking Goods,52.9298,OUT049,Medium,Tier 1,Supermarket Type1,1995.4026
221,5.425,Regular,0.115119905,Baking Goods,88.3514,OUT017,Not Applicable,Tier 2,Supermarket Type1,1416.8224
222,15.85,Regular,0.110030997,Frozen Foods,37.2506,OUT046,Small,Tier 1,Supermarket Type1,265.6542
223,7.5,Low Fat,0.051038045,Canned,121.7072,OUT017,Not Applicable,Tier 2,Supermarket Type1,3552.7088
224,12.65,Low Fat,0.062837968,Soft Drinks,161.5578,OUT013,High,Tier 3,Supermarket Type1,2406.867
225,12.857645184136183,Low Fat,0.017116983,Others,211.956,OUT019,Small,Tier 1,Grocery Store,213.056
226,20.75,Low Fat,0.024129332,Fruits and Vegetables,124.173,OUT013,High,Tier 3,Supermarket Type1,2956.152
227,12.857645184136183,Low Fat,0.049754975,Dairy,152.134,OUT019,Small,Tier 1,Grocery Store,153.134
228,9.0,Low Fat,0.0,Canned,79.7644,OUT035,Small,Tier 2,Supermarket Type1,1649.8524
229,12.857645184136183,Low Fat,0.101561568,Canned,181.9292,OUT027,Medium,Tier 3,Supermarket Type3,3101.2964
230,12.857645184136183,Low Fat,0.005949644,Household,165.6526,OUT027,Medium,Tier 3,Supermarket Type3,4769.1254
231,12.857645184136183,Regular,0.13956116,Seafood,170.4764,OUT027,Medium,Tier 3,Supermarket Type3,3435.528
232,14.1,Low Fat,0.126035694,Fruits and Vegetables,86.4198,OUT045,Not Applicable,Tier 2,Supermarket Type1,1133.8574
233,7.55,Low Fat,0.027164679,Canned,152.334,OUT035,Small,Tier 2,Supermarket Type1,2603.278
234,13.0,Low Fat,0.099325278,Household,45.406,OUT046,Small,Tier 1,Supermarket Type1,605.878
